□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다.,,,,,,,,,,,
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다.",,,,,,,,,,,
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)",,,,,,,,,,,
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다.",,,,,,,,,,,
,,,,,,,,,,,
* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다.,,,,,,,,,,,
□ 검색조건,,,,,,,,,,,
계약일자 : 20200701 ~ 20200731,,,,,,,,,,,
실거래구분 : 아파트(매매),,,,,,,,,,,
주소구분 : 지번주소,,,,,,,,,,,
시도 : 전라북도,,,,,,,,,,,
시군구 : 전체,,,,,,,,,,,
읍면동 : 전체,,,,,,,,,,,
면적 : 전체,,,,,,,,,,,
금액선택 : 전체,,,,,,,,,,,
시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도,도로명
전라북도 고창군 고창읍 교촌리,214-1,214,1,유진청하,84.96,202007,1,"8,000",5,1991,청룡길 20
전라북도 고창군 고창읍 교촌리,214-1,214,1,유진청하,84.96,202007,2,"7,000",4,1991,청룡길 20
전라북도 고창군 고창읍 교촌리,214-1,214,1,유진청하,84.96,202007,31,"7,800",5,1991,청룡길 20
전라북도 고창군 고창읍 석교리,10월 08일,10,8,성산현대,59.7,202007,17,"12,450",4,1995,보릿골로 195
전라북도 고창군 고창읍 석교리,10월 08일,10,8,성산현대,59.7,202007,18,"11,900",16,1995,보릿골로 195
전라북도 고창군 고창읍 월곡리,586,586,0,온천마을제일,59.9646,202007,16,"12,400",11,1999,월곡로 83
전라북도 고창군 고창읍 월곡리,586,586,0,온천마을제일,59.8706,202007,28,"11,800",3,1999,월곡로 83
전라북도 고창군 고창읍 월곡리,586,586,0,온천마을제일,59.9646,202007,28,"12,900",2,1999,월곡로 83
전라북도 고창군 고창읍 월곡리,586,586,0,온천마을제일,59.9646,202007,31,"12,500",9,1999,월곡로 83
전라북도 고창군 고창읍 월곡리,585,585,0,월곡주공,39.5,202007,12,"7,300",3,2000,월곡1길 43
전라북도 고창군 고창읍 월곡리,585,585,0,월곡주공,49.71,202007,25,"9,400",15,2000,월곡1길 43
전라북도 고창군 고창읍 읍내리,518-5,518,5,덕산진흥하이츠,59.4,202007,15,"8,500",11,1993,남구4길 27
전라북도 고창군 고창읍 읍내리,1163,1163,0,삼영남흥맨션,84.48,202007,17,"8,700",3,1995,중거리당산로 85
전라북도 고창군 고창읍 읍내리,410-9,410,9,상원모양맨션,59.84,202007,7,"8,600",8,1995,중거리당산로 108
전라북도 고창군 고창읍 읍내리,410-9,410,9,상원모양맨션,84.6,202007,14,"11,500",4,1995,중거리당산로 108
전라북도 고창군 고창읍 읍내리,Feb-56,56,2,성산,59.808,202007,20,"7,000",2,1998,동리로 172-14
전라북도 군산시 경암동,709,709,0,경암동제일오투그란데,83.8672,202007,15,"19,750",18,2015,조촌로 214
전라북도 군산시 경암동,709,709,0,경암동제일오투그란데,84.9795,202007,18,"18,300",4,2015,조촌로 214
전라북도 군산시 경암동,709,709,0,경암동제일오투그란데,84.4945,202007,24,"20,000",17,2015,조촌로 214
전라북도 군산시 경암동,676-1,676,1,대명2차,84.82,202007,10,"5,250",3,1988,경암로 30
전라북도 군산시 경암동,540-8,540,8,부향하나로,39.95,202007,15,"3,450",12,1998,경촌1길 56
전라북도 군산시 경암동,540-8,540,8,부향하나로,39.95,202007,20,"3,300",3,1998,경촌1길 56
전라북도 군산시 경장동,511-6,511,6,오르빌,59.98,202007,1,"8,500",12,2004,번영로 86
전라북도 군산시 구암동,65,65,0,현대,84.9,202007,21,"5,380",3,1994,서당길 11
전라북도 군산시 구암동,65,65,0,현대,84.9,202007,28,"6,800",4,1994,서당길 11
전라북도 군산시 금광동,172,172,0,삼성,84.9,202007,6,"8,550",8,1990,대학로 114-1
전라북도 군산시 금광동,172,172,0,삼성,127.67,202007,20,"9,500",10,1990,대학로 114-1
전라북도 군산시 나운동,800-2,800,2,그린골드맨션,59.4,202007,6,"6,000",7,1993,상나운1길 25
전라북도 군산시 나운동,1187-2,1187,2,금호2차,59.72,202007,1,"3,700",1,1987,한밭2길 10
전라북도 군산시 나운동,1187-2,1187,2,금호2차,59.94,202007,8,"2,500",5,1987,한밭2길 10
전라북도 군산시 나운동,489,489,0,금호타운1차,73.09,202007,8,"7,700",6,1991,수송로 49
전라북도 군산시 나운동,489,489,0,금호타운1차,73.09,202007,8,"8,900",7,1991,수송로 49
전라북도 군산시 나운동,489,489,0,금호타운1차,84.79,202007,20,"10,000",13,1991,수송로 49
전라북도 군산시 나운동,92,92,0,금호타운2차,59.88,202007,8,"6,900",7,1994,수송로 71
전라북도 군산시 나운동,1556,1556,0,나운동보람더하임,84.9914,202007,5,"15,600",14,2010,하신3길 7
전라북도 군산시 나운동,1556,1556,0,나운동보람더하임,59.8644,202007,11,"10,500",2,2010,하신3길 7
전라북도 군산시 나운동,775-1,775,1,대명1차,78.47,202007,31,"4,000",1,1988,신설1길 37
전라북도 군산시 나운동,834-1,834,1,대명4차,72.15,202007,11,"7,200",12,1990,나운로 70
전라북도 군산시 나운동,155-5,155,5,대우,187.111,202007,14,"20,700",14,1997,의료원로 136
전라북도 군산시 나운동,155-5,155,5,대우,84.987,202007,18,"13,750",5,1997,의료원로 136
전라북도 군산시 나운동,155-10,155,10,동신,92.3,202007,27,"13,500",3,1997,백토로 216
전라북도 군산시 나운동,733-1,733,1,동신진주,59.84,202007,3,"4,750",11,1993,상신6길 2
전라북도 군산시 나운동,738-7,738,7,로얄맨션5차,84.96,202007,28,"4,000",4,1992,상나운로 119-10
전라북도 군산시 나운동,345,345,0,롯데2차,74.025,202007,17,"7,300",1,1992,하나운로 45
